Occupation,Year,Rank,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2018,9,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2019,9,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2010,6,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2011,3,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2012,3,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2013,6,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2014,5,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2015,4,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2016,4,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2017,7,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2018,8,,,,,,,,,,,,,,,,,,,,,
Motor Mechanics,2019,10,,,,,,,,,,,,,,,,,,,,,
