Country of birth,Latitude (generated),Longitude (generated)
Zimbabwe,-19.098,30.047
Zambia,-15.13,25.268
Yemen,15.569,47.793
Western Sahara,24.4813,-13.6266
Wallis/Futuna,-13.2859,-176.2086
"Virgin Is, US",17.7289,-64.7592
Vietnam,21.75,105.373
Venezuela,6.983,-64.588
Vanuatu,-15.339,166.89
Uzbekistan,41.757,63.958
USA,40.0792,-98.8164
Uruguay,-32.948,-56.249
Ukraine,49.364,32.132
Uganda,1.9392,32.7415
Tuvalu,-7.4786,178.6758
Turkmenistan,39.584,59.597
Turkey,39.144,34.188
Tunisia,35.594,9.421
Trinidad/Tobago,10.4435,-61.2604
Tonga,-21.167,-175.19
Tokelau,-8.571,-172.48
Togo,7.7,1.106
Timor-Leste,-8.856,125.556
Thailand,15.688,100.845
Tanzania,-5.651,34.146
Tajikistan,38.367,72.597
Taiwan,23.6091,120.8353
Syria,35.303,38.322
Switzerland,46.7794,8.0329
Sweden,66.2188,19
Suriname,4.248,-55.848
Sudan,15.739,29.533
St Lucia,13.909,-60.9776
St Kitts/Nevis,17.147,-62.58
St Helena,-40.289,-10.033
St Barthelemy,17.9036,-62.8117
Sri Lanka,7.3,80.727
Spain,40.617,-3.388
South Sudan,7.1,30.48
South Africa,-31.7,23.441
Somalia,2.875,43.446
Solomon Islands,-9.5987,160.1487
Slovenia,46.037,14.534
Slovakia,48.8595,19.4434
Singapore,1.3389,103.8297
Sierra Leone,8.677,-11.779
Seychelles,-4.6841,55.4924
Serbia,44.021,20.699
Senegal,15.044,-15.081
Saudi Arabia,24.191,44.32
San Marino,43.942,12.4611
Samoa,-13.6221,-172.439
Rwanda,-1.887,29.904
Russia,64.736,104.062
Romania,45.933,25.119
Reunion,-21.1313,55.537
Qatar,25.3174,51.1522
Puerto Rico,18.242,-66.643
Portugal,40.957,-7.9373
Poland,52.442,19.72
PNG,-5.636,142.798
Pitcairn Is,-24.376,-128.3268
Philippines,17.181,121.256
Peru,-12.664,-72.98
Paraguay,-23.266,-58.409
Panama,8.348,-81.005
Palau,7.5288,134.5573
Pakistan,28.1854,66.6429
Oman,19.85,56.25
Norway,61.3701,9.3031
North Macedonia,41.636,21.676
Norfolk Island,-29.035,167.954
Niue,-19.033,-169.86
Nigeria,9.3417,7.678
Niger,16.996,9.915
Nicaragua,12.692,-85.03
New Zealand,-42.558,172.377
New Caledonia,-21.02,165.062
Netherlands,52.1704,5.0102
Nepal,28.2114,83.5608
Nauru,-0.5287,166.9315
Namibia,-21.276,17.219
N Mariana Is,15.1905,145.7471
Myanmar,21.841,96.05
Mozambique,-13.852,38.042
Morocco,31.129,-7.355
Montserrat,16.7492,-62.1928
Montenegro,42.857,19.096
Mongolia,46.516,102.564
Monaco,43.7384,7.4243
Moldova,47.524,28.444
Mexico,22.925,-101.68
Mayotte,-12.8252,45.1494
Mauritius,-20.2529,57.5902
Mauritania,19.413,-10.6528
Martinique,14.6366,-61.0154
Malta,35.9024,14.4137
