Year,Industry,Number
2016,Arts and Recreation Services,212
2016,Construction,1683
2016,Education and Training,1296
2016,"Electricity, Gas, Water and Waste Services",297
2016,Financial and Insurance Services,717
2016,Health Care and Social Assistance,1610
2016,Information Media and Telecommunications,1244
2016,Manufacturing,1456
2016,Mining,328
2016,Other Services,3509
2016,"Professional, Scientific and Technical Services",2013
2016,Public Administration and Safety,32
2016,"Rental, Hiring and Real Estate Services",217
2016,Retail Trade,1503
2016,Transport Postal and Warehousing,391
2016,Wholesale Trade,525
2017,Accommodation and Food Services,2381
2017,Administrative and Support Services,130
2017,"Agriculture, Forestry and Fishing",442
2017,Arts and Recreation Services,169
2017,Construction,1112
2017,Education and Training,1114
2017,"Electricity, Gas, Water and Waste Services",206
2017,Financial and Insurance Services,667
2017,Health Care and Social Assistance,1318
2017,Information Media and Telecommunications,1294
2017,Manufacturing,947
2017,Mining,239
2017,Other Services,2241
2017,"Professional, Scientific and Technical Services",2141
2017,Public Administration and Safety,45
2017,"Rental, Hiring and Real Estate Services",143
2017,Retail Trade,856
2017,Transport Postal and Warehousing,261
2017,Wholesale Trade,320
2018,Accommodation and Food Services,3824
2018,Administrative and Support Services,184
2018,"Agriculture, Forestry and Fishing",678
2018,Arts and Recreation Services,204
2018,Construction,1135
2018,Education and Training,1706
2018,"Electricity, Gas, Water and Waste Services",213
2018,Financial and Insurance Services,933
2018,Health Care and Social Assistance,1486
2018,Information Media and Telecommunications,1614
2018,Manufacturing,956
2018,Mining,201
2018,Other Services,2501
2018,"Professional, Scientific and Technical Services",2687
2018,Public Administration and Safety,32
2018,"Rental, Hiring and Real Estate Services",146
2018,Retail Trade,971
2018,Transport Postal and Warehousing,253
2018,Wholesale Trade,299
2019,Accommodation and Food Services,2455
2019,Administrative and Support Services,84
2019,"Agriculture, Forestry and Fishing",280
2019,Arts and Recreation Services,100
2019,Construction,1092
2019,Education and Training,902
2019,"Electricity, Gas, Water and Waste Services",123
2019,Financial and Insurance Services,460
2019,Health Care and Social Assistance,1260
2019,Information Media and Telecommunications,1135
2019,Manufacturing,798
2019,Mining,107
2019,Other Services,1558
2019,"Professional, Scientific and Technical Services",1847
2019,Public Administration and Safety,18
2019,"Rental, Hiring and Real Estate Services",130
2019,Retail Trade,535
2019,Transport Postal and Warehousing,145
2019,Wholesale Trade,234
